_is_concert,song_name_clean,_stream_cnt_ratio,_uniq_users_ratio,_days_diff_song_concert,_stream_cnt,_uniq_users
1,買你,0.15991039,0.258858635,1512,2998,2082
1,晚安晚安,0.111051846,0.174561731,295,2082,1404
1,香格里拉,0.088542778,0.134029591,588,1660,1078
1,飛鳥,0.073287817,0.102449335,295,1374,824
1,三個字,0.052325581,0.088897178,319,981,715
1,一起去旅行,0.037497333,0.060922541,1652,703,490
0,女人經痛時,0.02890975,0.052716648,1652,542,424
0,一時,0.028536377,0.04998135,295,535,402
1,隕石,0.029229785,0.048738033,295,548,392
0,IF,0.028856411,0.046997389,588,541,378
1,麋人,0.021335609,0.041775457,822,400,336
1,困在,0.023202475,0.040780803,835,435,328
1,門,0.016961809,0.02971528,588,318,239
1,溶話,0.015948368,0.02971528,295,299,239
0,等等等,0.016108385,0.0282233,1522,302,227
0,沒有關係,0.017761895,0.027725973,819,333,223
1,泡泡,0.015788351,0.026606987,1512,296,214
1,吼喲,0.015148282,0.025612334,295,284,206
1,一顆灰塵,0.014614892,0.02536367,827,274,204
1,我不是數學家,0.014774909,0.024244685,827,277,195
0,一刀兩刃,0.012854705,0.02387169,822,241,192
0,拉拉拉拉,0.013174739,0.02387169,1652,247,192
0,嗚,0.014668231,0.023623026,295,275,190
1,問號,0.011894602,0.023250031,827,223,187
0,抽屜,0.011894602,0.020763397,295,223,167
1,你是不會當樹嗎,0.012427992,0.020390402,827,233,164
0,世界末日的某個角落,0.012748026,0.019395748,1652,239,156
1,脫光光,0.008480905,0.016287455,295,159,131
1,局部的人,0.009014295,0.015665796,827,169,126
0,門/香格里拉,0.009120973,0.014671143,176,171,118
0,勾引,0.006934073,0.014049484,295,130,113
0,花王,0.007894175,0.013552157,1652,148,109
0,房間,0.007360785,0.011811513,1652,138,95
0,香水,0.006347344,0.011811513,1652,119,95
0,A Todo Color,0.006827395,0.011314186,1652,128,91
0,優雅的刺蝟,0.005013868,0.010319533,827,94,83
0,鑽石,0.004533817,0.00870322,1652,85,70
0,拖鞋,0.004107105,0.007335571,1652,77,59
0,外星人愛我,0.004267122,0.007335571,827,80,59
0,The Space That You're in,0.003787071,0.006962576,1652,71,56
0,Downtown Cafe,0.003787071,0.006465249,1652,71,52
0,我們,0.000160017,0.000372995,295,3,3
0,你啊你啊,0.20765372,0.422161795,1358,245265,100602
0,彼個所在,0.220729389,0.398830056,254,260709,95042
0,星期三或禮拜三,0.081849085,0.165382582,1108,96674,39411
0,Ophelia,0.044173987,0.110380945,254,52175,26304
0,陪著你,0.050011641,0.094887999,254,59070,22612
0,Don't cry Don't cry,0.037670865,0.078782385,861,44494,18774
0,一萬個不回頭的方法,0.025042227,0.070267979,1344,29578,16745
0,曬傷,0.018641549,0.057015887,718,22018,13587
0,海鷗先生我愛你,0.01983448,0.050217791,254,23427,11967
0,還是要相信愛情啊混蛋們,0.016899989,0.049558963,2282,19961,11810
0,恐慌症,0.019054715,0.048052471,274,22506,11451
0,好嗎好嗎,0.018215684,0.046869099,2254,21515,11169
0,竊笑,0.026893851,0.045425552,254,31765,10825
0,i will be fine,0.013274632,0.037192302,1344,15679,8863
0,既然不再假裝自己不是多愁善感的詩人,0.012491481,0.029722789,254,14754,7083
0,在不確定的世界裡,0.0072922,0.019676713,2254,8613,4689
0,兒歌,0.007249021,0.017012027,254,8562,4054
0,捉迷藏,0.005741137,0.015941956,2254,6781,3799
0,末路狂花,0.005622606,0.014288592,1344,6641,3405
0,暗室之後,0.005596359,0.013986454,2289,6610,3333
0,小魚,0.004787808,0.011779171,1344,5655,2807
0,friDay 超展開,0.004402582,0.011149718,823,5200,2657
1,我爸的筆,0.003682929,0.009651619,2852,4350,2300
0,無聲電影,0.003261297,0.009148056,1344,3852,2180
0,歪,0.003425548,0.009093503,1344,4046,2167
0,愛不愛,0.003021695,0.008854311,2296,3569,2110
0,夢露,0.002393481,0.008321374,1344,2827,1983
0,背景,0.001906657,0.007310052,2254,2252,1742
0,開始和結束之間,0.001644195,0.004443941,2254,1942,1059
0,雪女,0.001138745,0.003042358,1344,1345,725
0,沒有星期五的無人島,0.001308075,0.002601741,2852,1545,620
0,賈科梅蒂,0.000733199,0.002152731,1344,866,513
0,巴黎的憂鬱,0.000729813,0.002123356,2254,862,506
0,ㄧ刀兩刃,0.000629908,0.001930324,622,744,460
0,壞掉的戀曲,0.000551169,0.001682739,2852,651,401
0,黑貓的計謀,0.00054609,0.001661757,2254,645,396
1,"Je t'aime,moi non plus",0.000479204,0.001544259,2852,566,368
0,織花,0.000444491,0.00148551,168,525,354
0,ㄧ閃一閃亮晶晶,0.001137898,0.001456135,611,1344,347
0,睡蓮,0.00034882,0.00099034,2254,412,236
0,胎動,0.00019981,0.000658828,611,236,157
0,我在想一首歌,0.000228596,0.00054133,192,270,129
0,歌蒂拉與三隻熊,0.000187956,0.000432225,611,222,103
0,Opening,0.000101598,0.000394457,611,120,94
0,小黑桑波,0.000121918,0.000390261,611,144,93
0,野天鵝,0.000102445,0.000339905,611,121,81
0,快樂王子,8.81E-05,0.000285352,611,104,68
1,魚,1.61E-05,7.55E-05,2852,19,18
1,我愛你,1.44E-05,5.46E-05,2852,17,13
1,自然捲,8.47E-06,3.78E-05,2852,10,9
1,老處女,3.39E-06,1.26E-05,2852,4,3
1,森山大道,1.69E-06,8.39E-06,2852,2,2
0,神秘嘉賓,0.160405794,0.199788584,291,7131,189
0,傳說,0.109299082,0.189217759,312,4859,179
0,伯樂,0.271279467,0.167019027,277,12060,158
0,殘酷月光,0.149046248,0.094080338,270,6626,89
0,眼色,0.063006118,0.094080338,270,2801,89
0,愛情是圓的,0.0430763,0.077167019,270,1915,73
0,心有林夕,0.037857657,0.05179704,270,1683,49
0,再別康橋,0.039139824,0.045454545,270,1740,43
0,病態,0.038105093,0.039112051,270,1694,37
1,請說,0.047035271,0.032769556,270,2091,31
1,慢一點,0.03234659,0.021141649,270,1438,20
1,說謊,0.116487716,0.354372187,1318,133824,40161
1,想自由,0.086755598,0.275178682,763,99667,31186
0,浪費,0.064419733,0.197352863,343,74007,22366
0,勉強幸福,0.053121233,0.191052678,347,61027,21652
1,傻子,0.074953104,0.18553781,346,86108,21027
1,自然醒,0.056154767,0.175911056,756,64512,19936
1,誘,0.040818227,0.166584311,367,46893,18879
1,我總是一個人在練習一個人,0.034164472,0.124309539,756,39249,14088
1,心酸,0.028504777,0.112847437,1302,32747,12789
1,思凡,0.027790133,0.102814789,364,31926,11652
1,感同身受,0.024769656,0.08889085,1309,28456,10074
0,愛情的背影,0.018721737,0.076705197,120,21508,8693
0,越反越愛,0.012858355,0.05461043,343,14772,6189
1,Runaway Mama,0.011658869,0.052228007,343,13394,5919
1,晚安,0.009622876,0.044251302,772,11055,5015
0,紀念品,0.012110635,0.043739522,756,13913,4957
0,拾荒,0.009685548,0.042274773,343,11127,4791
1,看見什麼吃什麼,0.008708898,0.041110033,1318,10005,4659
0,我只在乎你,0.012367419,0.040518839,115,14208,4592
0,擁有,0.009992819,0.037836407,756,11480,4288
1,飄,0.005842491,0.030830319,1302,6712,3494
0,I Wish You Love,0.005879921,0.029630283,333,6755,3358
1,歇斯底里,0.006583248,0.029012618,1302,7563,3288
0,4號病房,0.005803321,0.028359658,343,6667,3214
0,週末夜驚魂,0.005547407,0.027724345,343,6373,3142
0,倒帶人生,0.005923444,0.026515486,116,6805,3005
0,Singing In The Rain,0.005193132,0.024441895,115,5966,2770
1,想念,0.0052854,0.024238948,756,6072,2747
0,來不及,0.00484495,0.024053649,116,5566,2726
1,不換,0.004827541,0.023577164,756,5546,2672
1,耳朵,0.005580484,0.023541869,1302,6411,2668
1,早開的晚霞,0.005575262,0.02265949,756,6405,2568
0,Everyday,0.004085043,0.019791759,1092,4693,2243
0,關於我,0.003628055,0.019553516,1302,4168,2216
0,Syrup,0.003598459,0.018424071,333,4134,2088
0,開到荼蘼,0.003812591,0.017471102,1492,4380,1980
0,As Time Goes By,0.003545362,0.016641666,115,4073,1886
0,Mercy  Mercy  Me,0.003662002,0.01653578,116,4207,1874
1,唐人街,0.003833482,0.016218124,1302,4404,1838
0,Untitled,0.002884687,0.016165181,333,3314,1832
0,聖誕歌,0.003094466,0.016015177,333,3555,1815
0,Yesterday's News,0.003097077,0.014382776,115,3558,1630
0,Lovely Day,0.00279503,0.013747463,115,3211,1558
0,我要我們在一起,0.00400235,0.013676873,1501,4598,1550
0,Waltz for Koop,0.002656627,0.013323921,116,3052,1510
0,Fly my way,0.002609623,0.01304156,756,2998,1478
0,解High人,0.002607882,0.012626842,1302,2996,1431
0,How Deep Is Your Love,0.00250865,0.012070943,115,2882,1368
0,No Surprises,0.002270146,0.01194741,116,2608,1354
0,I Can't Make You Love Me,0.002230975,0.01187682,115,2563,1346
1,另一個自己,0.002557396,0.011823877,1302,2938,1340
0,對不起謝謝,0.002456423,0.009423807,1505,2822,1068
1,羅密歐與茱麗葉,0.001642548,0.008117886,1078,1887,920
0,Darling,0.0011107,0.006300185,1082,1276,714
0,躺在你的衣櫃,0.001486736,0.006247243,1502,1708,708
0,對你愛不完,0.001137684,0.005091326,1500,1307,577
0,查無此人,0.000963593,0.00426189,1495,1107,483
0,Love Fool,0.000779927,0.003873643,1499,896,439
0,STAND BY ME,0.000704198,0.003714815,1498,809,421
0,狂人日記,0.000711161,0.003661872,1494,817,415
0,請說/慢一點,0.000695493,0.003238331,1491,799,367
0,OH MY LOVE,0.000625857,0.003105974,1494,719,352
0,The Hindu Times,0.000511827,0.002885379,1078,588,327
0,First of the gang to die,0.000510957,0.002682432,1078,587,304
1,美妙生活,5.22E-06,1.76E-05,756,6,2
0,天真有邪,0.172665975,0.434604177,168,638957,174946
0,全世界誰傾聽你,0.07004495,0.163039293,61,259204,65630
0,長大的童話,0.032861168,0.16144194,5,121604,64987
0,寵兒,0.040054176,0.10075247,166,148222,40557
0,熱血無賴,0.02761058,0.090293908,183,102174,36347
0,我已經敢想你,0.029323034,0.073947747,166,108511,29767
0,讓世界毀滅,0.020723473,0.057522091,166,76688,23155
0,一點點,0.018798077,0.056888615,166,69563,22900
0,我夢見你夢見我,0.016627582,0.043632822,166,61531,17564
0,飛,0.010748978,0.034518223,166,39777,13895
0,天上的男人 地上的女人,0.011140812,0.034016411,320,41227,13693
0,壞與更壞,0.010414161,0.033651231,166,38538,13546
0,白晝之月,0.009579148,0.032327142,166,35448,13013
0,勿忘你,0.01045929,0.030888779,166,38705,12434
0,Still Open After 10 p.m.,0.004239384,0.017846629,166,15688,7184
0,"Off, Do Not Disturb.",0.004191823,0.016480309,166,15512,6634
1,口的形狀,0.002320744,0.011129301,953,8588,4480
0,我愛的人,0.003298169,0.010267277,1244,12205,4133
0,那首歌,0.001828923,0.006757076,1244,6768,2720
0,大象舞台,0.000999314,0.005045449,922,3698,2031
0,背影,0.001046064,0.004528731,1244,3871,1823
0,你是我的眼,0.000255909,0.001045856,1244,947,421
0,離開地球表面,0.000170246,0.000919161,1244,630,370
0,金粉世家,0.000126468,0.000583791,1244,468,235
0,彩虹,0.146439194,0.305150869,36,300081,5006
1,牛仔很忙,0.092455293,0.28095093,50,189458,4609
1,陽光宅男,0.097069323,0.183846388,29,198913,3016
0,我不配,0.094938232,0.133678756,22,194546,2193
1,不能說的秘密,0.0297611,0.118622371,161,60986,1946
1,最長的電影,0.070256712,0.115391649,29,143969,1893
1,無雙,0.047222188,0.087412374,29,96767,1434
0,青花瓷,0.043716892,0.06741847,22,89584,1106
1,蒲公英的約定,0.056602991,0.063700091,22,115990,1045
1,甜甜的,0.037758426,0.046814995,22,77374,768
0,扯,0.027427001,0.038341969,22,56203,629
0,珊瑚海,0.010173313,0.030417556,759,20847,499
1,髮如雪,0.005344564,0.023590369,760,10952,387
0,千里之外 - feat.費玉清,0.008262797,0.022432185,464,16932,368
1,退後,0.007890942,0.020359646,451,16170,334
1,菊花台,0.006694369,0.019445291,451,13718,319
1,聽媽媽的話,0.005497307,0.019201463,451,11265,315
0,安靜,0.004573526,0.015178299,1367,9372,249
0,晴天娃娃,0.005512435,0.014629686,106,11296,240
0,七里香,0.005222564,0.012130448,1225,10702,199
1,夜曲,0.006333738,0.011459921,772,12979,188
0,路小雨,0.005075676,0.011338007,106,10401,186
0,藉口,0.005001501,0.010423651,1214,10249,171
0,一路向北,0.003852751,0.010423651,903,7895,171
0,楓,0.006009218,0.010362694,756,12314,170
1,白色風車,0.004360758,0.010179823,451,8936,167
0,小雨寫立可白Ⅰ,0.003338888,0.009692167,107,6842,159
0,First Kiss,0.002939705,0.009570253,106,6024,157
0,情人的眼淚,0.00163382,0.009387382,106,3348,154
0,晴天,0.003378416,0.009326425,1367,6923,153
0,園遊會,0.002342883,0.008533984,1214,4801,140
0,鬥琴,0.003610216,0.008351112,106,7398,137
1,霍元甲,0.003249585,0.008290155,688,6659,136
0,簡單愛,0.003083665,0.008046327,1367,6319,132
0,湘倫小雨四手聯彈,0.004267062,0.007863456,106,8744,129
0,擱淺,0.004590606,0.007863456,1214,9407,129
1,本草綱目,0.002726938,0.007741542,451,5588,127
0,心雨,0.002906033,0.007619628,451,5955,125
0,父與子,0.001981763,0.007558671,106,4061,124
0,夜的第七章,0.002810874,0.007558671,453,5760,124
0,腳踏車,0.002867481,0.007436757,106,5876,122
0,星晴,0.003174433,0.0073758,1367,6505,121
0,以父之名,0.001838292,0.007192929,1367,3767,118
0,淡水海邊,0.002877241,0.007192929,106,5896,118
1,迷迭香,0.001985179,0.007131972,451,4068,117
0,早操,0.002675698,0.007131972,106,5483,117
0,四面楚歌,0.001687988,0.006949101,756,3459,114
0,黑色毛衣,0.003922535,0.00676623,756,8038,111
0,回到過去,0.003249585,0.006583359,1367,6659,108
0,黑色幽默,0.002415106,0.005790917,1367,4949,95
1,雙截棍,0.00177534,0.005669003,1367,3638,93
1,黃金甲,0.002284811,0.005608046,357,4682,92
0,暗號,0.001783148,0.005425175,1367,3654,89
0,軌跡,0.002805018,0.005181347,1367,5748,85
0,可愛女人,0.00154842,0.005059433,1367,3173,83
0,分裂,0.001204381,0.004998476,1367,2468,82
0,愛在西元前,0.002491234,0.004876562,1367,5105,80
0,半島鐵盒,0.002105715,0.004754648,1367,4315,78
0,Secret-慢版,0.002367283,0.004754648,106,4851,78
0,開不了口,0.002976793,0.004693691,1367,6100,77
0,東風破,0.002210635,0.004571777,1367,4530,75
0,女孩別為我哭泣,0.002736698,0.004571777,106,5608,75
0,浪漫手機,0.002254555,0.004571777,759,4620,75
0,最後的戰役,0.002146707,0.00451082,1367,4399,74
0,Ride With Me,0.002266267,0.00451082,106,4644,74
0,紅模仿,0.001945652,0.00451082,451,3987,74
0,爸我回來了,0.001691892,0.004266992,1367,3467,70
0,止戰之殤,0.001762164,0.004206035,1214,3611,69
0,上海一九四三,0.001462045,0.004206035,1367,2996,69
0,她的睫毛,0.001815844,0.004206035,1367,3721,69
0,斷了的弦,0.002240403,0.004084121,1367,4591,67
0,琴房,0.002351179,0.004023164,106,4818,66
0,外婆,0.001309789,0.003962207,1214,2684,65
0,The Swan,0.001844148,0.00390125,106,3779,64
0,小雨寫立可白Ⅱ,0.00258981,0.003840293,106,5307,63
0,妳聽得到,0.001559156,0.003779336,1367,3195,62
0,飄移,0.001607468,0.003779336,932,3294,62
0,愛情懸崖,0.001415197,0.003535507,1367,2900,58
0,阿郎與阿寶,0.001539148,0.003535507,106,3154,58
0,Flash Back,0.001673348,0.00347455,106,3429,57
0,Secret-加長快版,0.002858697,0.003413593,106,5858,56
0,Angel,0.002002259,0.003352636,106,4103,55
0,瓦解,0.001341509,0.003291679,1043,2749,54
0,與父共舞,0.001652852,0.003230722,106,3387,53
0,三年二班,0.000926222,0.003047851,1367,1898,50
0,亂舞春秋,0.000856926,0.002986894,1214,1756,49
0,將軍,0.000941838,0.002925937,1214,1930,48
0,反方向的鐘,0.001006254,0.002925937,1367,2062,48
0,藍色風暴,0.000906702,0.00286498,756,1858,47
0,Ending,0.002017387,0.00286498,106,4134,47
0,龍捲風,0.001789004,0.002804023,1367,3666,46
0,爺爺泡的茶,0.001438133,0.002743066,1367,2947,45
0,對不起,0.000817886,0.002682109,1367,1676,44
0,我的地盤,0.00088523,0.002621152,1214,1814,43
0,梯田,0.000805198,0.002621152,1367,1650,43
0,娘子,0.000570471,0.002194453,1367,1169,36
0,獻世,0.000736878,0.002194453,679,1510,36
1,麥芽糖,0.001251229,0.002011582,756,2564,33
0,雙刀,0.00070223,0.002011582,1367,1439,33
0,逆鱗,0.000747126,0.001889668,756,1531,31
0,菊花台 [杰倫鋼琴演奏版],0.000573887,0.001889668,357,1176,31
0,一路上有你/分手總要在雨天,0.000449447,0.001889668,1289,921,31
0,一路上有你,0.000449447,0.001889668,1289,921,31
0,分手總要在雨天,0.000449447,0.001889668,1289,921,31
0,你怎麼連話都說不清楚,0.000918414,0.001828711,1289,1882,30
0,威廉古堡,0.000901822,0.001828711,1367,1848,30
0,星晴/回到過去/最後的戰役/愛我別走,0.000647575,0.001828711,1033,1327,30
0,愛我別走,0.000647575,0.001828711,1033,1327,30
0,倒帶,0.000914998,0.001706797,1043,1875,28
0,鬥牛,0.00074859,0.001584883,1367,1534,26
0,困獸之鬥,0.000637327,0.001584883,1214,1306,26
0,龍拳,0.000960382,0.001523926,1367,1968,25
0,忍者,0.001021382,0.001523926,1367,2093,25
0,完美主義,0.000626591,0.001523926,1367,1284,25
0,找自己,0.00099503,0.001462969,1225,2039,24
0,伊斯坦堡,0.000596823,0.001462969,1367,1223,24
0,半獸人,0.00090475,0.001402012,1367,1854,23
0,印地安老斑鳩,0.000570959,0.001280098,1367,1170,21
0,火車叨位去,0.000511911,0.001158183,1367,1049,19
0,同一種調調,0.000495807,0.001097226,1367,1016,18
0,米蘭的小鐵匠,0.000685638,0.000975312,1367,1405,16
0,梯田/爸我回來了,0.000342575,0.000975312,1033,702,16
0,雙刀/雙截棍/龍拳,0.000290847,0.000853398,1033,596,14
0,懦夫,0.000493855,0.000731484,1367,1012,12
0,黃金甲 [OS版],0.000347943,0.00060957,361,713,10
0,七里香 [OS版],0.000105408,0.000426699,1221,216,7
0,說了再見,0.078296094,0.155186866,317,19406,10738
0,天地一鬥,0.047499738,0.105572738,36,11773,7305
1,說好的幸福呢,0.044893365,0.097132699,903,11127,6721
0,給我一首歌的時間,0.029259161,0.065251322,898,7252,4515
1,稻香,0.025079281,0.058704512,919,6216,4062
0,超人不會飛,0.024470051,0.054629014,337,6065,3780
1,雨下一整晚,0.017732213,0.040841691,317,4395,2826
0,煙花易冷,0.01381055,0.034135908,317,3423,2362
0,好久不見,0.012281424,0.030999798,317,3044,2145
0,自導自演,0.011002445,0.023802642,317,2727,1647
1,跨時代,0.009529804,0.023065584,325,2362,1596
0,我落淚．情緒零碎,0.009985717,0.022848802,317,2475,1581
1,愛的飛行日記,0.010441631,0.0221551,317,2588,1533
0,蘭亭序,0.008831812,0.020305229,898,2189,1405
0,世界末日,0.006685387,0.015521577,1052,1657,1074
1,免費教學錄影帶,0.0061044,0.015333699,317,1513,1061
1,龍戰騎士,0.005648487,0.012703414,898,1400,879
0,花海,0.005265196,0.012226494,898,1305,846
1,時光機,0.00467614,0.011157037,898,1159,772
1,魔術先生,0.004313023,0.011026968,898,1069,763
1,嘻哈空姐,0.004280746,0.010896899,317,1061,754
1,蛇舞,0.003510131,0.008685724,898,870,601
0,喬克叔叔,0.002848451,0.007558459,909,706,523
0,流浪詩人,0.002674962,0.007081539,898,663,490
0,周大俠,0.002408676,0.005751944,1168,597,398
0,千里之外,0.002154494,0.005347284,1142,534,370
0,千山萬水,0.002134321,0.00531838,973,529,368
0,明明就,0.126943813,0.596145528,110,1194711,217766
0,傻笑,0.064171966,0.375353828,93,603944,137113
0,紅塵客棧,0.048544431,0.331917107,110,456868,121246
0,大笨鐘,0.051554205,0.325056804,97,485194,118740
0,愛你沒差,0.055908634,0.32252457,93,526175,117815
0,公公偏頭痛,0.034226487,0.249478497,93,322117,91132
0,烏克麗麗,0.025332214,0.155178078,93,238410,56685
0,手語,0.018880633,0.147638862,97,177692,53931
0,哪裡都是你,0.018232054,0.132976539,93,171588,48575
0,比較大的大提琴,0.014048163,0.129209669,97,132212,47199
0,Mine Mine,0.012988697,0.11706863,516,122241,42764
0,夢想啟動,0.016916194,0.11639793,93,159204,42519
0,四季列車,0.010845537,0.100030113,93,102071,36540
0,公主病,0.008542676,0.077218101,506,80398,28207
0,你好嗎,0.006903482,0.065703961,512,64971,24001
0,水手怕水,0.005860273,0.059872978,506,55153,21871
0,世界未末日,0.004316709,0.041476635,506,40626,15151
0,療傷燒肉粽,0.002465643,0.027167456,506,23205,9924
0,超跑女神,0.002867605,0.022636809,506,26988,8269
0,驚嘆號,0.002122971,0.022102987,523,19980,8074
0,迷魂曲,0.001526244,0.01569438,512,14364,5733
0,皮影戲,0.001216193,0.013920447,532,11446,5085
0,琴傷,0.001182297,0.013055381,506,11127,4769
