_is_concert,song_name_clean,stream_cnt,uniq_users,stream_cnt_ratio,uniq_users_ratio,stream_cnt_total,uniq_users_total,days_diff_song_concert,is_concert
TRUE,買你,2998,2082,0.15991039,0.258858635,18748,8043,1512,1
TRUE,晚安晚安,2082,1404,0.111051846,0.174561731,18748,8043,295,1
TRUE,香格里拉,1660,1078,0.088542778,0.134029591,18748,8043,588,1
TRUE,飛鳥,1374,824,0.073287817,0.102449335,18748,8043,295,1
TRUE,三個字,981,715,0.052325581,0.088897178,18748,8043,319,1
TRUE,一起去旅行,703,490,0.037497333,0.060922541,18748,8043,1652,1
FALSE,女人經痛時,542,424,0.02890975,0.052716648,18748,8043,1652,0
FALSE,一時,535,402,0.028536377,0.04998135,18748,8043,295,0
TRUE,隕石,548,392,0.029229785,0.048738033,18748,8043,295,1
FALSE,IF,541,378,0.028856411,0.046997389,18748,8043,588,0
TRUE,麋人,400,336,0.021335609,0.041775457,18748,8043,822,1
TRUE,困在,435,328,0.023202475,0.040780803,18748,8043,835,1
TRUE,門,318,239,0.016961809,0.02971528,18748,8043,588,1
TRUE,溶話,299,239,0.015948368,0.02971528,18748,8043,295,1
FALSE,等等等,302,227,0.016108385,0.0282233,18748,8043,1522,0
FALSE,沒有關係,333,223,0.017761895,0.027725973,18748,8043,819,0
TRUE,泡泡,296,214,0.015788351,0.026606987,18748,8043,1512,1
TRUE,吼喲,284,206,0.015148282,0.025612334,18748,8043,295,1
TRUE,一顆灰塵,274,204,0.014614892,0.02536367,18748,8043,827,1
TRUE,我不是數學家,277,195,0.014774909,0.024244685,18748,8043,827,1
FALSE,一刀兩刃,241,192,0.012854705,0.02387169,18748,8043,822,0
FALSE,拉拉拉拉,247,192,0.013174739,0.02387169,18748,8043,1652,0
FALSE,嗚,275,190,0.014668231,0.023623026,18748,8043,295,0
TRUE,問號,223,187,0.011894602,0.023250031,18748,8043,827,1
FALSE,抽屜,223,167,0.011894602,0.020763397,18748,8043,295,0
TRUE,你是不會當樹嗎,233,164,0.012427992,0.020390402,18748,8043,827,1
FALSE,世界末日的某個角落,239,156,0.012748026,0.019395748,18748,8043,1652,0
TRUE,脫光光,159,131,0.008480905,0.016287455,18748,8043,295,1
TRUE,局部的人,169,126,0.009014295,0.015665796,18748,8043,827,1
FALSE,門/香格里拉,171,118,0.009120973,0.014671143,18748,8043,176,0
FALSE,勾引,130,113,0.006934073,0.014049484,18748,8043,295,0
FALSE,花王,148,109,0.007894175,0.013552157,18748,8043,1652,0
FALSE,房間,138,95,0.007360785,0.011811513,18748,8043,1652,0
FALSE,香水,119,95,0.006347344,0.011811513,18748,8043,1652,0
FALSE,A Todo Color,128,91,0.006827395,0.011314186,18748,8043,1652,0
FALSE,優雅的刺蝟,94,83,0.005013868,0.010319533,18748,8043,827,0
FALSE,鑽石,85,70,0.004533817,0.00870322,18748,8043,1652,0
FALSE,拖鞋,77,59,0.004107105,0.007335571,18748,8043,1652,0
FALSE,外星人愛我,80,59,0.004267122,0.007335571,18748,8043,827,0
FALSE,The Space That You're in,71,56,0.003787071,0.006962576,18748,8043,1652,0
FALSE,Downtown Cafe,71,52,0.003787071,0.006465249,18748,8043,1652,0
FALSE,我們,3,3,0.000160017,0.000372995,18748,8043,295,0
FALSE,你啊你啊,245265,100602,0.20765372,0.422161795,1181125,238302,1358,0
FALSE,彼個所在,260709,95042,0.220729389,0.398830056,1181125,238302,254,0
FALSE,星期三或禮拜三,96674,39411,0.081849085,0.165382582,1181125,238302,1108,0
FALSE,Ophelia,52175,26304,0.044173987,0.110380945,1181125,238302,254,0
FALSE,陪著你,59070,22612,0.050011641,0.094887999,1181125,238302,254,0
FALSE,Don't cry Don't cry,44494,18774,0.037670865,0.078782385,1181125,238302,861,0
FALSE,一萬個不回頭的方法,29578,16745,0.025042227,0.070267979,1181125,238302,1344,0
FALSE,曬傷,22018,13587,0.018641549,0.057015887,1181125,238302,718,0
FALSE,海鷗先生我愛你,23427,11967,0.01983448,0.050217791,1181125,238302,254,0
