is_concert,song_name_clean,uu.other,pc.other,avg.other,uu.core,pc.core,avg.core,r,u,a
True,怪美的,202375,578670,2.8593946880790613,21582,133428,6.182374200722824,28.736407095105758,28.624261689029517,0.1121454060762415
True,玫瑰少年,163235,522331,3.199871351119552,18578,111492,6.00129185057595,27.73824472504712,27.66365443516876,0.0745902898783566
True,腦公,148492,391544,2.636801982598389,17301,81798,4.727934801456564,27.30818111074035,27.24387121297313,0.0643098977672238
True,消極掰,98306,249133,2.5342603706793074,15272,72293,4.733695652173913,25.629629953324365,25.55599961946433,0.0736303338600318
True,如果我沒有傷口,73726,174481,2.366614220220818,10312,44836,4.347944142746315,24.32023964985135,24.25046100053128,0.0697786493200656
True,倒帶,76694,173979,2.268482541007119,7016,21743,3.0990592930444696,24.2520955026595,24.233736758207563,0.018358744451938
False,第三人稱,57138,130029,2.2757009345794392,7386,24809,3.35892228540482,23.16200847431509,23.133418815571467,0.0285896587436227
True,你也有今天,49344,122286,2.4782344357976656,12001,56502,4.708107657695192,23.00050530666748,22.922829388320597,0.077675918346883
True,假裝,54919,109565,1.9950290427720825,5547,16565,2.986298900306472,22.893539187698217,22.86284973562355,0.0306894520746688
True,甜秘密,47134,141775,3.007913608011202,10963,55513,5.063668703821946,22.748326949795224,22.69716054360928,0.0511664061859464
True,天空,49481,104121,2.1042622420727146,5501,16517,3.002544991819669,22.49352687367095,22.469690706134926,0.0238361675360253
True,說愛你,45199,104423,2.3102944755414945,5106,16929,3.3155111633372503,22.129759761468502,22.10514743717402,0.0246123242944864
True,愛的羅曼死,38490,87199,2.2654975318264485,9067,37084,4.089996691298114,21.942157723437276,21.876335016537123,0.0658227069001502
True,妥協,42837,86702,2.0239979457011463,5190,14760,2.8439306358381504,21.938124034689505,21.916306106018105,0.0218179286713998
True,我知道你很難過,43336,92820,2.141868192726601,3912,11219,2.867842535787321,21.86592919383524,21.84986044711541,0.0160687467198272
True,Play我呸,38027,88960,2.3393904331133144,8612,35750,4.15118439386902,21.859254896709043,21.79721937281116,0.0620355238978844
True,紅衣女孩,34104,72772,2.133825944170772,8954,35189,3.92997542997543,21.54480251701999,21.474455116415943,0.0703474006040454
False,不一樣又怎樣,36287,69993,1.9288725990023976,5666,16996,2.9996470172961525,21.406712390306357,21.3699379581482,0.0367744321581524
True,大藝術家,32012,74161,2.3166625015619142,7628,28623,3.7523597273203984,21.186698849259468,21.14283302475973,0.0438658244997332
True,檸檬草的味道,34430,67035,1.946993900668022,3752,10993,2.929904051172708,21.024931178827877,20.99342890212846,0.031502276699415
False,幸褔路上,35376,68671,1.9411748077792852,2842,7972,2.8050668543279382,21.02274077855629,20.997179621425897,0.025561157130398
