is_concert,uu.other,pc.other,avg.other,uu.core,pc.core,avg.core,r,u,a,_is_concert,_uu.other,_pc.other,_avg.other,_uu.core,_pc.core,_r,_u,_a
TRUE,242857,925235,3.809793418,6937,123879,17.85771948,29.58403125,29.13389147,0.450139778,TRUE,242857,925235,3.809793418,6937,123879,29.58403125,29.13389147,0.450139778
TRUE,126712,315721,2.491642465,4474,65692,14.68305767,26.78618187,26.19277236,0.593409511,TRUE,126712,315721,2.491642465,4474,65692,26.78618187,26.19277236,0.593409511
TRUE,47216,113702,2.408124365,6023,22777,3.781670264,22.37566683,22.33724897,0.038417861,TRUE,47216,113702,2.408124365,6023,22777,22.37566683,22.33724897,0.038417861
TRUE,40719,97073,2.383973084,5041,18280,3.62626463,21.75331149,21.7201299,0.03318159,TRUE,40719,97073,2.383973084,5041,18280,21.75331149,21.7201299,0.03318159
TRUE,36814,108043,2.934834574,6882,31695,4.605492589,21.57199455,21.53369901,0.038295539,TRUE,36814,108043,2.934834574,6882,31695,21.57199455,21.53369901,0.038295539
TRUE,27794,59237,2.131287328,4175,13247,3.172934132,20.32245025,20.29258383,0.029866425,TRUE,27794,59237,2.131287328,4175,13247,20.32245025,20.29258383,0.029866425
TRUE,26425,69039,2.612639546,4879,18509,3.793605247,20.23665301,20.21041788,0.026235136,TRUE,26425,69039,2.612639546,4879,18509,20.23665301,20.21041788,0.026235136
TRUE,22936,52837,2.303671085,4119,19417,4.714008254,19.7415205,19.64481824,0.096702258,TRUE,22936,52837,2.303671085,4119,19417,19.7415205,19.64481824,0.096702258
FALSE,19175,44487,2.320052151,5363,21679,4.042327056,19.32883333,19.27068787,0.058145462,FALSE,19175,44487,2.320052151,5363,21679,19.32883333,19.27068787,0.058145462
TRUE,20242,43423,2.145193163,3547,15421,4.347617705,19.24678553,19.15266852,0.094117002,TRUE,20242,43423,2.145193163,3547,15421,19.24678553,19.15266852,0.094117002
TRUE,19016,47577,2.50194573,4749,17894,3.767951148,19.18045437,19.14883179,0.031622576,TRUE,19016,47577,2.50194573,4749,17894,19.18045437,19.14883179,0.031622576
TRUE,16947,38418,2.266949903,4012,13543,3.375623131,18.70414207,18.6742435,0.029898571,TRUE,16947,38418,2.266949903,4012,13543,18.70414207,18.6742435,0.029898571
FALSE,15394,33463,2.173769001,3794,11812,3.113336848,18.36868346,18.34434349,0.024339969,FALSE,15394,33463,2.173769001,3794,11812,18.36868346,18.34434349,0.024339969
TRUE,13082,28404,2.171227641,3524,11486,3.259364359,17.84176364,17.81063695,0.031126681,TRUE,13082,28404,2.171227641,3524,11486,17.84176364,17.81063695,0.031126681
FALSE,12338,26479,2.146133895,3465,10751,3.102741703,17.65504215,17.62941373,0.025628427,FALSE,12338,26479,2.146133895,3465,10751,17.65504215,17.62941373,0.025628427
TRUE,12601,25675,2.037536703,3020,8758,2.9,17.61069238,17.58719377,0.023498608,TRUE,12601,25675,2.037536703,3020,8758,17.61069238,17.58719377,0.023498608
TRUE,11973,27255,2.276371837,3573,11991,3.356003359,17.59808596,17.56966702,0.028418941,TRUE,11973,27255,2.276371837,3573,11991,17.59808596,17.56966702,0.028418941
TRUE,10046,27441,2.731534939,4348,17721,4.075666973,17.32067701,17.29047337,0.030203635,TRUE,10046,27441,2.731534939,4348,17721,17.32067701,17.29047337,0.030203635
TRUE,10743,22934,2.134785442,3254,10236,3.145666872,17.21795049,17.18960591,0.028344583,TRUE,10743,22934,2.134785442,3254,10236,17.21795049,17.18960591,0.028344583
TRUE,10743,20922,1.947500698,3081,9344,3.032781564,17.18185137,17.14484765,0.03700372,TRUE,10743,20922,1.947500698,3081,9344,17.18185137,17.14484765,0.03700372
FALSE,7964,17014,2.136363636,3531,11748,3.327102804,16.52474745,16.48773314,0.037014313,FALSE,7964,17014,2.136363636,3531,11748,16.52474745,16.48773314,0.037014313
FALSE,8678,21535,2.481562572,2664,8528,3.201201201,16.45273775,16.4405081,0.012229648,FALSE,8678,21535,2.481562572,2664,8528,16.45273775,16.4405081,0.012229648
TRUE,7096,22303,3.143038331,2967,12343,4.160094371,16.03665114,16.02182722,0.014823916,TRUE,7096,22303,3.143038331,2967,12343,16.03665114,16.02182722,0.014823916
TRUE,6824,14133,2.071072685,2616,8104,3.097859327,15.8309806,15.80040236,0.030578241,TRUE,6824,14133,2.071072685,2616,8104,15.8309806,15.80040236,0.030578241
FALSE,5345,10691,2.000187091,2722,8822,3.240999265,15.30633474,15.2623991,0.043935645,FALSE,5345,10691,2.000187091,2722,8822,15.30633474,15.2623991,0.043935645
FALSE,5501,11584,2.105798946,2412,7208,2.988391376,15.2201741,15.19706384,0.023110254,FALSE,5501,11584,2.105798946,2412,7208,15.2201741,15.19706384,0.023110254
FALSE,4575,11354,2.481748634,2971,11015,3.70750589,15.06707646,15.03668759,0.030388877,FALSE,4575,11354,2.481748634,2971,11015,15.06707646,15.03668759,0.030388877
FALSE,4696,9809,2.088798978,2366,7353,3.107776839,14.84401914,14.81424454,0.0297746,FALSE,4696,9809,2.088798978,2366,7353,14.84401914,14.81424454,0.0297746
FALSE,4504,9391,2.085035524,2388,7526,3.15159129,14.76508466,14.7328944,0.032190256,FALSE,4504,9391,2.085035524,2388,7526,14.76508466,14.7328944,0.032190256
TRUE,4933,8782,1.780255423,1876,6105,3.254264392,14.7611564,14.69252785,0.068628552,TRUE,4933,8782,1.780255423,1876,6105,14.7611564,14.69252785,0.068628552
FALSE,4351,8783,2.01861641,1688,5124,3.035545024,14.32709033,14.29569656,0.031393773,FALSE,4351,8783,2.01861641,1688,5124,14.32709033,14.29569656,0.031393773
FALSE,3256,7707,2.367014742,2310,7476,3.236363636,14.04755083,14.02909388,0.018456948,FALSE,3256,7707,2.367014742,2310,7476,14.04755083,14.02909388,0.018456948
FALSE,2548,6996,2.745682889,2306,8785,3.80962706,13.6075615,13.58733153,0.020229966,FALSE,2548,6996,2.745682889,2306,8785,13.6075615,13.58733153,0.020229966
TRUE,3072,5323,1.732747396,1595,5271,3.304702194,13.5404609,13.46183838,0.078622519,TRUE,3072,5323,1.732747396,1595,5271,13.5404609,13.46183838,0.078622519
FALSE,3705,8801,2.375438596,1025,3364,3.28195122,13.52431328,13.5046044,0.019708878,FALSE,3705,8801,2.375438596,1025,3364,13.52431328,13.5046044,0.019708878
FALSE,2928,5556,1.897540984,1607,4977,3.097075296,13.41582456,13.37055749,0.045267073,FALSE,2928,5556,1.897540984,1607,4977,13.41582456,13.37055749,0.045267073
FALSE,2546,5842,2.294579733,1973,6462,3.275215408,13.38321611,13.35933452,0.023881596,FALSE,2546,5842,2.294579733,1973,6462,13.38321611,13.35933452,0.023881596
TRUE,2457,4973,2.024013024,1710,6073,3.551461988,13.16275282,13.10312217,0.059630645,TRUE,2457,4973,2.024013024,1710,6073,13.16275282,13.10312217,0.059630645
TRUE,2107,5197,2.466540104,1684,6765,4.017220903,12.85235379,12.80747865,0.04487514,TRUE,2107,5197,2.466540104,1684,6765,12.85235379,12.80747865,0.04487514
