is_concert	song_name_clean	uu.other	pc.other	avg.other	uu.core	pc.core	avg.core	r	u	a
TRUE	小幸運	184970	505260	2.7315780937449317	11689	53674	4.591838480622807	28.07428924676883	28.023406076544916	0.05088317022391573
FALSE	愛了很久的朋友	124264	290216	2.3354793021309472	8579	33146	3.8636204685860824	26.296393196301683	26.24859917599163	0.04779402031005327
TRUE	你就不要想起我	84127	223397	2.6554732725522125	9133	39485	4.323332968356509	24.74267952583162	24.69787247929201	0.04480704653961012
TRUE	寂寞寂寞就好	79933	175980	2.2015938348366757	8478	32517	3.835456475583864	24.526044101951168	24.467924603834273	0.05811949811689425
TRUE	魔鬼中的天使	60867	154293	2.5349204002168664	7806	30785	3.9437612093261594	23.431342380269758	23.394499004133362	0.03684337613639565
FALSE	不晚	62433	161431	2.5856678359201064	3671	24086	6.561154998637973	23.39814094118232	23.234595463039852	0.16354547814246764
FALSE	餘波盪漾	60503	118937	1.9658033485942845	6458	21989	3.404924125116135	23.345471697056496	23.28855730794594	0.05691438911055752
TRUE	還是要幸福	58986	124279	2.1069236768046653	7513	28296	3.7662717955543723	23.32318217643906	23.259545628745258	0.06363654769380256
TRUE	愛著愛著就永遠	57662	125153	2.1704588810655197	7717	29442	3.815213165737981	23.248454717961522	23.18844576659902	0.06000895136250203
FALSE	演員	53818	121058	2.2493961128247055	7420	29613	3.9909703504043126	22.97757729501299	22.915570039454348	0.06200725555864037
TRUE	不醉不會	51906	114973	2.2150233113705546	7063	24890	3.5239983010052387	22.79951679115659	22.75885108855056	0.04066570260603123
FALSE	最暖的憂傷	46604	96553	2.07177495493949	4741	17873	3.7698797721999577	22.256385057666815	22.188792898344904	0.0675921593219109
FALSE	我想我不會愛你	43817	85826	1.9587374763219756	5440	17641	3.242830882352941	22.0671937892175	22.01925553293219	0.047938256285314486
FALSE	你太猖狂	31613	57692	1.8249454338405087	4374	13601	3.1095107453132145	20.812028610201025	20.75846312825846	0.05356548194256629
FALSE	當你	24647	48834	1.9813364709700978	4274	13763	3.220168460458587	19.946911554355157	19.902424156823468	0.044487397531690565
TRUE	渺小	23801	42403	1.7815637998403429	3967	11755	2.9631963700529367	19.793911521380867	19.74508861808446	0.04882290329640892
TRUE	My Love	23848	41165	1.726140556860114	3692	11434	3.0969664138678223	19.777724823894623	19.713279752278254	0.06444507161636893
FALSE	看淡	19115	43865	2.294794663876537	3800	12234	3.2194736842105263	19.032266277208773	19.01064520735142	0.02162106985735414
TRUE	LOVE!	19991	35309	1.766244810164574	2675	7557	2.8250467289719627	19.010896077316268	18.969290383937675	0.04160569337859082
FALSE	黑色柳丁	19245	46123	2.3966224993504808	3419	10611	3.103539046504826	18.98155832867466	18.96895656404649	0.012601764628170494
FALSE	矛盾	17320	29769	1.7187644341801385	2857	8879	3.1078053902695135	18.5979614042725	18.5317902948797	0.06617110939280256
TRUE	To Hebe	15461	24034	1.5544919474807581	2120	6554	3.091509433962264	18.109546214680396	18.020394944569563	0.08915127011083263
FALSE	自己的房間	14055	24188	1.7209533973674849	2217	6742	3.041046459179071	17.79736926722537	17.736234753867738	0.06113451335763374
